AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0.5555555555555556,0.56,0.35714285714285715,0.7142857142857143,0.47619047174603185,0.2302861362695694,1,0.6434377402935213
0.4126984126984127,0.32,0.2916666666666667,1.0,0.45161289972944857,0.30101248621940613,2,0.6314200440656792
0.3095238095238095,0.28,0.28,1.0,0.4374999965820313,0.3175264298915863,3,0.6303904033401637
0.23015873015873015,0.28,0.28,1.0,0.4374999965820313,0.2683303952217102,4,0.6325189586981986
0.30158730158730157,0.28,0.28,1.0,0.4374999965820313,0.23758652806282043,5,0.6310011050076161
0.3095238095238095,0.28,0.28,1.0,0.4374999965820313,0.20804451406002045,6,0.6222365313363307
0.380952380952381,0.28,0.28,1.0,0.4374999965820313,0.25708213448524475,7,0.6229642253477596
0.32539682539682535,0.32,0.2916666666666667,1.0,0.45161289972944857,0.1782538741827011,8,0.6182748351282287
0.3095238095238095,0.28,0.28,1.0,0.4374999965820313,0.1257941871881485,9,0.6183769135799223
0.3412698412698412,0.32,0.2916666666666667,1.0,0.45161289972944857,0.1527397632598877,10,0.6296743316557801
