,AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0,0.4583333333333333,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.2111630141735077,4.0,0.6195669589089412
1,0.5763888888888888,0.6923076923076923,0.5,0.75,0.5999999952,0.2936883568763733,7.0,0.6136062612720564
2,0.4305555555555556,0.38461538461538464,0.3333333333333333,1.0,0.4999999962500001,0.2393476366996765,3.0,0.6163781022324282
3,0.5555555555555556,0.56,0.35714285714285715,0.7142857142857143,0.47619047174603185,0.2302861362695694,1.0,0.6434377402935213
4,0.6544117647058824,0.64,0.46153846153846156,0.75,0.5714285667120181,0.4313197731971741,9.0,0.6083976105578894
Mean,0.535049019607843,0.5169230769230769,0.391941391941392,0.8428571428571429,0.5236414523207105,0.2811609834432602,4.8,0.6202773346529673
Std,0.09107846654987113,0.16511068548564162,0.0840597490282998,0.1441902088441882,0.058607579701445506,0.08936011270167965,3.1937438845342623,0.013580722562061645
