AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0.6838235294117647,0.72,0.5555555555555556,0.625,0.5882352891349482,0.5050824284553528,1,0.7044464633302782
0.7058823529411764,0.8,0.8,0.5,0.6153846106508877,0.4725600481033325,2,0.6844512606130063
0.7058823529411765,0.8,0.8,0.5,0.6153846106508877,0.42577269673347473,3,0.6639859907835433
0.6985294117647058,0.8,0.8,0.5,0.6153846106508877,0.37422996759414673,4,0.6378927039868624
0.6985294117647058,0.76,0.625,0.625,0.624999995,0.36241599917411804,5,0.6283139563301234
0.7058823529411764,0.76,0.625,0.625,0.624999995,0.36860421299934387,6,0.619554633654437
0.7058823529411764,0.76,0.625,0.625,0.624999995,0.36384114623069763,7,0.6131222016603044
0.7058823529411764,0.76,0.625,0.625,0.624999995,0.29163268208503723,8,0.6119855966382813
0.7058823529411764,0.76,0.625,0.625,0.624999995,0.32727789878845215,9,0.6180571850063732
0.6764705882352942,0.8,0.8,0.5,0.6153846106508877,0.3120259642601013,10,0.6080692306305598
