,AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0,0.4444444444444444,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.3127993941307068,1.0,1.0104843224307485
1,0.736111111111111,0.8076923076923077,0.7142857142857143,0.625,0.6666666616888889,0.3775624930858612,10.0,0.6443187197049459
2,0.638888888888889,0.5384615384615384,0.4,1.0,0.5714285673469389,0.42051076889038086,6.0,0.6590409319774777
3,0.7539682539682541,0.88,1.0,0.5714285714285714,0.7272727226446282,0.43983808159828186,1.0,2.4277070563973733
4,0.4411764705882353,0.32,0.32,1.0,0.4848484811753903,0.4422072470188141,6.0,0.6189448063813366
Mean,0.6029178338001866,0.5707692307692307,0.5483956043956043,0.8392857142857142,0.5841609329102696,0.39858359694480894,4.8,1.0720991673783762
Std,0.1525816822766793,0.26687762858481273,0.3014920990853531,0.2208806585152318,0.1120401873279319,0.05451277941738349,3.8340579025361627,0.7746662555615936
