AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0.375,0.32,0.32,1.0,0.4848484811753903,0.34256312251091003,1,4.374073825993584
0.34558823529411764,0.32,0.32,1.0,0.4848484811753903,0.39705389738082886,2,0.6216897223759623
0.34558823529411764,0.32,0.32,1.0,0.4848484811753903,0.20570625364780426,3,0.6256718323068712
0.3529411764705882,0.32,0.32,1.0,0.4848484811753903,0.3529120683670044,4,0.6168232259241123
0.3529411764705882,0.32,0.32,1.0,0.4848484811753903,0.33475595712661743,5,0.6292370557785034
0.4411764705882353,0.32,0.32,1.0,0.4848484811753903,0.4422072470188141,6,0.6189448063813366
0.4117647058823529,0.36,0.3333333333333333,1.0,0.4999999962500001,0.3652200698852539,7,0.6377914605788815
0.3602941176470588,0.32,0.32,1.0,0.4848484811753903,0.3753735423088074,8,0.6527127513607729
0.3529411764705883,0.32,0.32,1.0,0.4848484811753903,0.3005768954753876,9,0.6243426446775788
0.3308823529411765,0.32,0.32,1.0,0.4848484811753903,0.33939865231513977,10,0.6118600356926038
