,AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0,0.763888888888889,0.7692307692307693,0.6,0.75,0.6666666617283951,0.2162461131811142,0.4247145646927403,19.0
1,0.7847222222222222,0.8461538461538461,1.0,0.5,0.6666666622222223,0.545122504234314,0.23743647632791715,28.0
2,0.75,0.6153846153846154,0.4444444444444444,1.0,0.6153846111242604,0.44887444376945496,0.4935368550758736,12.0
3,0.888888888888889,0.84,0.6666666666666666,0.8571428571428571,0.7499999950781251,0.4908312261104584,0.5441646014602439,8.0
4,0.7720588235294118,0.84,0.8333333333333334,0.625,0.7142857093877552,0.4014142155647278,0.5907473159067839,10.0
Mean,0.7919117647058823,0.7821538461538461,0.7088888888888889,0.7464285714285714,0.6826007279081516,0.42049770057201385,0.4581199626927118,15.4
Std,0.0556602843127461,0.09844711432808287,0.2143609509307855,0.19496205805651687,0.051411075013615415,0.12586329529369655,0.1378995764287755,8.17312669668102
