AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0.6041666666666666,0.46153846153846156,0.36363636363636365,1.0,0.5333333294222222,0.22312889993190765,0.6494017284290463,1
0.6319444444444444,0.46153846153846156,0.36363636363636365,1.0,0.5333333294222222,0.2843238115310669,0.6214369214048573,2
0.6111111111111112,0.46153846153846156,0.36363636363636365,1.0,0.5333333294222222,0.2831045687198639,0.6332008657502193,3
0.5277777777777778,0.34615384615384615,0.32,1.0,0.4848484811753903,0.3358916640281677,0.622647726652669,4
0.5,0.34615384615384615,0.32,1.0,0.4848484811753903,0.308239221572876,0.6102960384359547,5
0.5902777777777778,0.6538461538461539,0.45454545454545453,0.625,0.5263157845983379,0.31552255153656006,0.614730201515497,6
0.2638888888888889,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.2276880294084549,0.6096300547029457,7
0.3055555555555556,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.3312603831291199,0.6129543605972739,8
0.3611111111111111,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.34984782338142395,0.6291706608790978,9
0.5972222222222222,0.5769230769230769,0.4,0.75,0.5217391258979208,0.4621444344520569,0.6175138477016898,10
0.7222222222222222,0.6923076923076923,0.5,0.75,0.5999999952,0.38103964924812317,0.5985017845443651,11
0.625,0.6538461538461539,0.45454545454545453,0.625,0.5263157845983379,0.4399603605270386,0.5687441282412585,12
0.7083333333333334,0.6153846153846154,0.4444444444444444,1.0,0.6153846111242604,0.4296163022518158,0.5308808211018058,13
0.3680555555555556,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.4505143463611603,0.5951185308250726,14
0.5625,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.2936963438987732,0.5551976731010512,15
0.6458333333333334,0.5384615384615384,0.4,1.0,0.5714285673469389,0.3493882715702057,0.4980260233084361,16
0.375,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.40676575899124146,0.5971785947388294,17
0.5763888888888888,0.5,0.3684210526315789,0.875,0.5185185143484226,0.4406726658344269,0.5526280572601393,18
0.763888888888889,0.7692307692307693,0.6,0.75,0.6666666617283951,0.2162461131811142,0.4247145646927403,19
0.6041666666666666,0.6923076923076923,0.5,0.625,0.555555550617284,0.17779812216758728,0.35065840155470607,20
0.4583333333333333,0.4230769230769231,0.34782608695652173,1.0,0.5161290284287201,0.2560158967971802,0.33175254218718586,21
0.5347222222222223,0.38461538461538464,0.3333333333333333,1.0,0.4999999962500001,0.20786134898662567,0.5524086467191285,22
0.5208333333333333,0.38461538461538464,0.3333333333333333,1.0,0.4999999962500001,0.2835750877857208,0.5707836910790088,23
0.6736111111111112,0.7692307692307693,0.6666666666666666,0.5,0.5714285665306124,0.47006168961524963,0.5217033992795383,24
0.5694444444444444,0.5769230769230769,0.4117647058823529,0.875,0.5599999956480001,0.3597874939441681,0.5803208906276554,25
0.7430555555555556,0.6153846153846154,0.4444444444444444,1.0,0.6153846111242604,0.1983724981546402,0.42581632499601324,26
0.6874999999999999,0.6923076923076923,0.5,0.75,0.5999999952,0.12364587187767029,0.3520644131828757,27
0.6875,0.5769230769230769,0.4117647058823529,0.875,0.5599999956480001,0.1595257818698883,0.2971707097455567,28
0.5069444444444444,0.34615384615384615,0.32,1.0,0.4848484811753903,0.14200030267238617,0.37148847942258795,29
0.5972222222222222,0.5,0.38095238095238093,1.0,0.5517241339357908,0.04869521036744118,0.40950987736384076,30
