,AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0,0.6111111111111112,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.3816407322883606,0.6157533584856519,30.0
1,0.763888888888889,0.8076923076923077,0.6666666666666666,0.75,0.7058823479584776,0.381335586309433,0.6570836042656618,14.0
2,0.5972222222222223,0.5769230769230769,0.4,0.75,0.5217391258979208,0.27785399556159973,0.5974520818859923,24.0
3,0.7857142857142857,0.84,0.7142857142857143,0.7142857142857143,0.7142857092857143,0.319119393825531,0.633214397916516,14.0
4,0.4632352941176471,0.36,0.3333333333333333,1.0,0.4999999962500001,0.4061284363269806,1.5072428369985043,1.0
Mean,0.644234360410831,0.6399999999999999,0.5085714285714287,0.7928571428571429,0.5974723440437119,0.353215628862381,0.8021492559104653,16.6
Std,0.13266661998164622,0.19436134224929286,0.1704469248622906,0.11682448024140091,0.10409169276970119,0.05301040634355904,0.39477346391776674,11.081516141756055
