AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0.4632352941176471,0.36,0.3333333333333333,1.0,0.4999999962500001,0.4061284363269806,1.5072428369985043,1
0.4632352941176471,0.36,0.3333333333333333,1.0,0.4999999962500001,0.25799596309661865,0.6310598659283907,2
0.4411764705882353,0.36,0.3333333333333333,1.0,0.4999999962500001,0.2709095776081085,0.6216128480087206,3
0.40441176470588236,0.36,0.3333333333333333,1.0,0.4999999962500001,0.2553117573261261,0.6292149488208363,4
0.3970588235294118,0.36,0.3333333333333333,1.0,0.4999999962500001,0.2779085338115692,0.6214723401856654,5
0.40441176470588236,0.36,0.3333333333333333,1.0,0.4999999962500001,0.182463139295578,0.615652525887906,6
0.3970588235294118,0.36,0.3333333333333333,1.0,0.4999999962500001,0.21639500558376312,0.6159082026157564,7
0.36764705882352944,0.32,0.32,1.0,0.4848484811753903,0.24824970960617065,0.6258814161263623,8
0.3602941176470589,0.32,0.32,1.0,0.4848484811753903,0.23893973231315613,0.6143654712195535,9
0.3602941176470589,0.32,0.32,1.0,0.4848484811753903,0.20320850610733032,0.6200509893084035,10
0.3676470588235293,0.32,0.32,1.0,0.4848484811753903,0.31317034363746643,0.6255065046467827,11
0.3529411764705882,0.32,0.32,1.0,0.4848484811753903,0.19417431950569153,0.6131554558439162,12
0.3602941176470589,0.32,0.32,1.0,0.4848484811753903,0.07504315674304962,0.6018610752901985,13
0.3382352941176471,0.32,0.32,1.0,0.4848484811753903,0.37339818477630615,0.6577588400794464,14
0.3382352941176471,0.32,0.32,1.0,0.4848484811753903,0.3507435619831085,0.6348608552830891,15
0.3382352941176471,0.32,0.32,1.0,0.4848484811753903,0.07762320339679718,0.5927798580197454,16
0.3529411764705882,0.32,0.32,1.0,0.4848484811753903,0.16287055611610413,0.5956440614265146,17
0.3529411764705882,0.32,0.32,1.0,0.4848484811753903,0.11663646250963211,0.5872040298378584,18
0.3382352941176471,0.32,0.32,1.0,0.4848484811753903,0.09031739830970764,0.57276027005853,19
0.3235294117647059,0.32,0.32,1.0,0.4848484811753903,0.00025000007008202374,0.5626184164899067,20
0.35294117647058826,0.32,0.32,1.0,0.4848484811753903,0.026971731334924698,0.5869086922951114,21
0.375,0.32,0.32,1.0,0.4848484811753903,0.06391884386539459,0.5964044801239828,22
0.35294117647058826,0.32,0.32,1.0,0.4848484811753903,0.08429018408060074,0.5639423843726371,23
0.35294117647058826,0.32,0.32,1.0,0.4848484811753903,0.030695250257849693,0.5643024583464687,24
0.35294117647058826,0.32,0.32,1.0,0.4848484811753903,0.06857769936323166,0.5592916353234967,25
0.35294117647058826,0.32,0.32,1.0,0.4848484811753903,0.056298837065696716,0.554021251433104,26
0.3602941176470588,0.32,0.32,1.0,0.4848484811753903,0.02904915250837803,0.5368087060243181,27
0.3602941176470589,0.32,0.32,1.0,0.4848484811753903,0.010011599399149418,0.5399631892593162,28
0.3529411764705882,0.32,0.32,1.0,0.4848484811753903,0.0672697126865387,0.5444360844139914,29
0.3529411764705882,0.32,0.32,1.0,0.4848484811753903,0.0013765600742772222,0.5351755335492995,30
