AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0.625,0.5,0.38095238095238093,1.0,0.5517241339357908,0.18498726189136505,1,0.64657641509
0.6527777777777778,0.5,0.38095238095238093,1.0,0.5517241339357908,0.03330833092331886,2,0.6183065100043428
0.6041666666666667,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.18092168867588043,3,0.6070369844343148
0.6805555555555556,0.6153846153846154,0.4444444444444444,1.0,0.6153846111242604,0.208116814494133,4,0.6024246280099831
0.6875,0.6538461538461539,0.4666666666666667,0.875,0.6086956476370511,0.2727416455745697,5,0.5893775195467705
0.6666666666666667,0.6153846153846154,0.4444444444444444,1.0,0.6153846111242604,0.19660314917564392,6,0.5905641469300962
0.6041666666666667,0.5384615384615384,0.4,1.0,0.5714285673469389,0.00022745027672499418,7,0.5825758704952165
0.5694444444444444,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.1153235211968422,8,0.6094918005606708
0.5625,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.012360630556941032,9,0.6009966076589098
0.5208333333333335,0.34615384615384615,0.32,1.0,0.4848484811753903,0.03366471081972122,10,0.5752985050865248
