,AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0,0.7152777777777778,0.7307692307692307,0.5454545454545454,0.75,0.6315789424930748,0.5220075845718384,9.0,0.614150908647799
1,0.6736111111111112,0.7692307692307693,0.625,0.625,0.624999995,0.4678058326244354,2.0,0.6619952426237219
2,0.6666666666666667,0.6538461538461539,0.47058823529411764,1.0,0.639999995648,0.40532225370407104,7.0,0.6186612996400571
3,0.6507936507936508,0.6,0.4,0.8571428571428571,0.5454545411157026,0.4451552927494049,3.0,0.6724527466644361
4,0.8088235294117647,0.84,0.75,0.75,0.749999995,0.3940364122390747,6.0,0.6199375859742026
Mean,0.7030345471521942,0.7187692307692307,0.5582085561497326,0.7964285714285715,0.6384066938513555,0.44686547517776487,5.4,0.6374395567100434
Std,0.06375476067613371,0.094483334994675,0.1361203397369499,0.14038031433595388,0.07301038270814783,0.051489098456653844,2.8809720581775866,0.02752366358365749
