,AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0,0.6041666666666667,0.6538461538461539,0.4666666666666667,0.875,0.6086956476370511,0.3410049378871918,0.6096411639568853,10.0
1,0.7013888888888888,0.7692307692307693,0.625,0.625,0.624999995,0.25896942615509033,0.6529757847972945,1.0
2,0.6666666666666667,0.7307692307692307,0.5555555555555556,0.625,0.5882352891349482,0.3328915238380432,0.6168607432468265,10.0
3,0.6587301587301588,0.76,0.5714285714285714,0.5714285714285714,0.5714285664285715,0.3924490213394165,0.6162410511553866,10.0
4,0.625,0.64,0.46153846153846156,0.75,0.5714285667120181,0.3298966586589813,0.6177893026361188,9.0
Mean,0.6511904761904763,0.7107692307692308,0.5360378510378511,0.6892857142857143,0.5929576129825178,0.33104231357574465,0.6227016091585023,8.0
Std,0.037793582878281384,0.06018708505236478,0.07055180381149151,0.12281249188606715,0.023578061845188767,0.04761635970566429,0.017227058796792094,3.9370039370059056
