AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0.40277777777777773,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.19164974987506866,0.6194471161739499,1
0.5833333333333333,0.5769230769230769,0.4,0.75,0.5217391258979208,0.07212064415216446,0.6126590301008785,2
0.6180555555555556,0.6153846153846154,0.4375,0.875,0.583333328888889,0.13519635796546936,0.6101629973626604,3
0.6944444444444444,0.6538461538461539,0.4666666666666667,0.875,0.6086956476370511,0.15948228538036346,0.5987152948099024,4
0.7013888888888888,0.7307692307692307,0.5384615384615384,0.875,0.6666666619501135,0.30631008744239807,0.5875927817587759,5
0.6805555555555557,0.6923076923076923,0.5,0.875,0.6363636317355372,0.24949699640274048,0.5790257436387679,6
0.6597222222222223,0.6153846153846154,0.4375,0.875,0.583333328888889,0.34928348660469055,0.5822348471950082,7
0.7361111111111112,0.6923076923076923,0.5,0.875,0.6363636317355372,0.19489924609661102,0.5719632138224209,8
0.4930555555555556,0.38461538461538464,0.3333333333333333,1.0,0.4999999962500001,0.11202964931726456,0.5870792047650206,9
0.6180555555555556,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.39986133575439453,0.5505792574555266,10
0.6527777777777779,0.6538461538461539,0.4666666666666667,0.875,0.6086956476370511,0.2524266839027405,0.5732478078673867,11
0.6666666666666667,0.6538461538461539,0.4666666666666667,0.875,0.6086956476370511,0.09715874493122101,0.5509487711915783,12
0.6805555555555556,0.6923076923076923,0.5,0.875,0.6363636317355372,0.2601538300514221,0.5401257784927592,13
0.6944444444444444,0.6923076923076923,0.5,0.875,0.6363636317355372,0.34777048230171204,0.5381757432923597,14
0.5972222222222223,0.6538461538461539,0.45454545454545453,0.625,0.5263157845983379,0.27076292037963867,0.508805367584322,15
0.625,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.22067269682884216,0.5278792807868883,16
0.5694444444444444,0.5769230769230769,0.4,0.75,0.5217391258979208,0.19094844162464142,0.5029000823988634,17
0.7152777777777778,0.7692307692307693,0.6,0.75,0.6666666617283951,0.3061792850494385,0.5056148595085331,18
0.45833333333333337,0.46153846153846156,0.35,0.875,0.4999999959183673,0.6244744062423706,0.45158331125390294,19
0.5902777777777778,0.6538461538461539,0.45454545454545453,0.625,0.5263157845983379,0.2008696049451828,0.46346643464822396,20
0.625,0.7692307692307693,0.6666666666666666,0.5,0.5714285665306124,0.5471495985984802,0.46888712106966507,21
0.6458333333333334,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.1431778520345688,0.4684152464364089,22
0.5416666666666667,0.5,0.35294117647058826,0.75,0.47999999564800006,0.12389924377202988,0.4456467749733551,23
0.5069444444444445,0.34615384615384615,0.32,1.0,0.4848484811753903,0.07647621631622314,0.44010254178269237,24
0.6597222222222222,0.7692307692307693,0.625,0.625,0.624999995,0.2450329214334488,0.39690104287629036,25
0.625,0.6538461538461539,0.46153846153846156,0.75,0.5714285667120181,0.16935350000858307,0.38518115710101875,26
0.5902777777777778,0.6538461538461539,0.45454545454545453,0.625,0.5263157845983379,0.7306634187698364,0.4166655378671838,27
0.6319444444444444,0.6538461538461539,0.46153846153846156,0.75,0.5714285667120181,0.6119755506515503,0.41661790670717463,28
0.5555555555555556,0.5,0.38095238095238093,1.0,0.5517241339357908,0.39608466625213623,0.3150607937691258,29
0.5555555555555556,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.2679661810398102,0.31829626418138834,30
