AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0.6388888888888888,0.6538461538461539,0.46153846153846156,0.75,0.5714285667120181,0.4648425281047821,1,0.6758528532935124
0.6736111111111112,0.7692307692307693,0.625,0.625,0.624999995,0.4678058326244354,2,0.6619952426237219
0.548611111111111,0.7307692307692307,0.5555555555555556,0.625,0.5882352891349482,0.47259721159935,3,0.6501367682335424
0.6319444444444444,0.6538461538461539,0.45454545454545453,0.625,0.5263157845983379,0.41871899366378784,4,0.6389683315566942
0.45138888888888884,0.5769230769230769,0.38461538461538464,0.625,0.476190471473923,0.3163906931877136,5,0.6288096717759675
0.5625,0.5769230769230769,0.4,0.75,0.5217391258979208,0.46583449840545654,6,0.6210817916720521
0.5902777777777778,0.7307692307692307,0.5714285714285714,0.5,0.5333333283555556,0.4917745590209961,7,0.623593248573004
0.5555555555555556,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.4651828408241272,8,0.614202645479464
0.5555555555555556,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.4648670554161072,9,0.6171758934563282
0.4861111111111111,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.32863983511924744,10,0.6167595620248832
