,AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0,0.7361111111111112,0.6923076923076923,0.5,0.875,0.6363636317355372,0.19489924609661102,0.5719632138224209,8.0
1,0.6944444444444444,0.6538461538461539,0.4666666666666667,0.875,0.6086956476370511,0.12659767270088196,0.49390680912662954,19.0
2,0.7152777777777778,0.6538461538461539,0.47058823529411764,1.0,0.639999995648,0.1534951627254486,0.5983614863133898,8.0
3,0.9206349206349207,0.88,0.7,1.0,0.8235294069204152,0.39099282026290894,0.5451965800766806,22.0
4,0.7058823529411764,0.76,0.625,0.625,0.624999995,0.2978798747062683,0.6465827666440056,1.0
Mean,0.7544701213818861,0.728,0.5524509803921569,0.875,0.6667177353882007,0.23277295529842376,0.5712021711966253,11.6
Std,0.09413778027438338,0.09539329985279225,0.10469674815118801,0.15309310892394862,0.0885042966248084,0.1098464991508315,0.05716490514406783,8.677557259966655
