AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0.7013888888888888,0.7692307692307693,0.625,0.625,0.624999995,0.25896942615509033,0.6529757847972945,1
0.6875,0.6538461538461539,0.46153846153846156,0.75,0.5714285667120181,0.2873431444168091,0.6463198112506493,2
0.6597222222222222,0.7307692307692307,0.5714285714285714,0.5,0.5333333283555556,0.3335137367248535,0.629083088800019,3
0.6388888888888888,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.3757317364215851,0.6195596462371302,4
0.6319444444444444,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.33204132318496704,0.6265436516088598,5
0.5902777777777778,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.38561370968818665,0.6168742664888793,6
0.5763888888888888,0.5,0.38095238095238093,1.0,0.5517241339357908,0.3438931107521057,0.6268099879517275,7
0.5972222222222222,0.5,0.38095238095238093,1.0,0.5517241339357908,0.3467239737510681,0.6291361795920952,8
0.5833333333333333,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.30167755484580994,0.60658025858449,9
0.5833333333333333,0.5384615384615384,0.3888888888888889,0.875,0.5384615342011835,0.17357398569583893,0.6072818362245372,10
