,AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0,0.5347222222222223,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.06586138904094696,0.6116094250305026,11.0
1,0.5416666666666667,0.6153846153846154,0.42857142857142855,0.75,0.5454545408264463,0.3078314960002899,0.6145770450433096,18.0
2,0.5208333333333334,0.5,0.3684210526315789,0.875,0.5185185143484226,0.285050630569458,0.6355678871566174,1.0
3,0.6111111111111112,0.48,0.35,1.0,0.5185185146776405,0.3549642264842987,0.6320381187698216,27.0
4,0.7647058823529411,0.8,0.6666666666666666,0.75,0.7058823479584776,0.24579745531082153,0.6153423138035153,26.0
Mean,0.5946078431372549,0.5406153846153846,0.42427029111239634,0.875,0.5517924299012977,0.25190103948116305,0.6218269579607533,16.6
Std,0.10128849250299353,0.18196689990963164,0.14230261984973266,0.125,0.09026668873617043,0.1112397603676903,0.01109155947749997,10.876580344942981
