AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0.1875,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.1606069952249527,1,0.6655213090718961
0.4305555555555556,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.25907769799232483,2,0.6164231230230892
0.5555555555555556,0.6538461538461539,0.46153846153846156,0.75,0.5714285667120181,0.30867576599121094,3,0.6056074961727741
0.5763888888888888,0.6923076923076923,0.5,0.625,0.555555550617284,0.08280950784683228,4,0.604613685724782
0.5555555555555556,0.6153846153846154,0.4375,0.875,0.583333328888889,0.23844565451145172,5,0.6030461268097747
0.6736111111111112,0.6923076923076923,0.5,0.75,0.5999999952,0.27949899435043335,6,0.5960682577946607
0.7222222222222222,0.5769230769230769,0.42105263157894735,1.0,0.5925925884224966,0.34922221302986145,7,0.5804373131078833
0.7291666666666666,0.7307692307692307,0.5454545454545454,0.75,0.6315789424930748,0.3130565285682678,8,0.616408997890996
0.7013888888888888,0.6923076923076923,0.5,0.875,0.6363636317355372,0.24150696396827698,9,0.5892862204243156
0.7500000000000001,0.7307692307692307,0.5384615384615384,0.875,0.6666666619501135,0.24403680860996246,10,0.5484573180769005
