AUC,ACC,Precision,Recall,F1,Threshold,TrainLoss,Epoch
0.7152777777777778,0.6538461538461539,0.47058823529411764,1.0,0.639999995648,0.30951616168022156,0.6525405557716594,1
0.7291666666666666,0.6923076923076923,0.5,0.75,0.5999999952,0.340898722410202,0.6234215007108801,2
0.7083333333333333,0.5769230769230769,0.42105263157894735,1.0,0.5925925884224966,0.3024885058403015,0.6269049428257287,3
0.6666666666666667,0.5384615384615384,0.4,1.0,0.5714285673469389,0.36580389738082886,0.6240615032467187,4
0.6388888888888888,0.5769230769230769,0.4117647058823529,0.875,0.5599999956480001,0.30465859174728394,0.6222585708487267,5
0.5277777777777778,0.38461538461538464,0.3333333333333333,1.0,0.4999999962500001,0.2643507421016693,0.6093325147441789,6
0.5625,0.5384615384615384,0.4,1.0,0.5714285673469389,0.08015085756778717,0.6025824318913853,7
0.46527777777777773,0.34615384615384615,0.32,1.0,0.4848484811753903,0.37949690222740173,0.6753662953189775,8
0.5555555555555556,0.5769230769230769,0.4,0.75,0.5217391258979208,0.3863549530506134,0.6343461988019008,9
0.6597222222222223,0.8076923076923077,0.8,0.5,0.6153846106508877,0.36803296208381653,0.6440060863307878,10
