AUC,ACC,Precision,Recall,F1,Threshold,Epoch,TrainLoss
0.2916666666666667,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.3612678647041321,1,0.6691572888224733
0.3472222222222222,0.34615384615384615,0.32,1.0,0.4848484811753903,0.34192144870758057,2,0.6512867434352052
0.2222222222222222,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.34465739130973816,3,0.6394270056603002
0.2569444444444445,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.3244599997997284,4,0.6230800765402177
0.2013888888888889,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.20105192065238953,5,0.6195477556948569
0.10416666666666667,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.28495630621910095,6,0.6183521911209705
0.3819444444444444,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.13554196059703827,7,0.6155706831053191
0.20833333333333331,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.14495931565761566,8,0.6216386895553738
0.1597222222222222,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.2679975926876068,9,0.6159601176486296
0.125,0.3076923076923077,0.3076923076923077,1.0,0.4705882316955018,0.2872314453125,10,0.6185045990289426
